INFO 2024-05-24 20:23:00,976 autoreload Watching for file changes with StatReloader
DEBUG 2024-05-24 20:23:00,977 autoreload Waiting for apps ready_event.
DEBUG 2024-05-24 20:23:01,167 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-05-24 20:23:01,209 autoreload Watching dir C:\venvs\mysite\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-05-24 20:23:01,210 autoreload Watching dir D:\Kookmin_Hospital\templates with glob **/*.
DEBUG 2024-05-24 20:23:01,211 autoreload Watching dir D:\Kookmin_Hospital\locale with glob **/*.mo.
DEBUG 2024-05-24 20:23:01,211 autoreload Watching dir C:\venvs\mysite\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-05-24 20:23:01,212 autoreload Watching dir C:\venvs\mysite\Lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
DEBUG 2024-05-24 20:23:01,252 autoreload Watching dir D:\Kookmin_Hospital\nurse\locale with glob **/*.mo.
DEBUG 2024-05-24 20:23:01,253 autoreload Watching dir D:\Kookmin_Hospital\doctor\locale with glob **/*.mo.
DEBUG 2024-05-24 20:23:01,253 autoreload Watching dir D:\Kookmin_Hospital\hospital\locale with glob **/*.mo.
DEBUG 2024-05-24 20:23:01,254 autoreload Watching dir C:\venvs\mysite\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-05-24 20:23:01,263 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-05-24 20:23:01,267 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-05-24 20:23:01,478 autoreload File C:\venvs\mysite\Lib\site-packages\django\contrib\postgres\fields\hstore.py first seen with mtime 1715818500.656222
DEBUG 2024-05-24 20:23:01,478 autoreload File C:\Python312\Lib\asyncio\windows_utils.py first seen with mtime 1701955214.0
DEBUG 2024-05-24 20:23:01,479 autoreload File C:\venvs\mysite\Lib\site-packages\django\contrib\admin\options.py first seen with mtime 1715818496.8378189
DEBUG 2024-05-24 20:23:01,479 autoreload File C:\venvs\mysite\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1715818501.5657315
DEBUG 2024-05-24 20:23:01,480 autoreload File C:\venvs\mysite\Lib\site-packages\rest_framework\utils\field_mapping.py first seen with mtime 1715746509.4535131
DEBUG 2024-05-24 20:23:01,480 autoreload File C:\venvs\mysite\Lib\site-packages\django\contrib\postgres\fields\utils.py first seen with mtime 1715818500.6592104
DEBUG 2024-05-24 20:23:01,481 autoreload File C:\Python312\Lib\token.py first seen with mtime 1701955216.0
DEBUG 2024-05-24 20:23:01,481 autoreload File C:\venvs\mysite\Lib\site-packages\django\utils\log.py first seen with mtime 1715818501.7173262
DEBUG 2024-05-24 20:23:01,481 autoreload File C:\venvs\mysite\Lib\site-packages\django\core\checks\urls.py first seen with mtime 1715818501.419723
DEBUG 2024-05-24 20:23:01,482 autoreload File C:\venvs\mysite\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1715818501.6983292
DEBUG 2024-05-24 20:23:01,482 autoreload File C:\venvs\mysite\Lib\site-packages\django\core\mail\utils.py first seen with mtime 1715818501.4377186
DEBUG 2024-05-24 20:23:01,482 autoreload File C:\venvs\mysite\Lib\site-packages\rest_framework\schemas\inspectors.py first seen with mtime 1715746509.3684084
DEBUG 2024-05-24 20:23:01,483 autoreload File C:\venvs\mysite\Lib\site-packages\django\core\signing.py first seen with mtime 1715818501.4037232
DEBUG 2024-05-24 20:23:01,483 autoreload File C:\Python312\Lib\asyncio\timeouts.py first seen with mtime 1701955214.0
